"Distance [mm]","Voltage [V]","MagE [V_per_meter]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []"
4.6872,97.0061367583962,518.413971219706,-0.001,0,0.0053128,0,0,-1
4.7088,96.9949571810525,511.301218806632,-0.001,0,0.0052912,0,0,-1
4.7304,96.9839074062087,504.014584814175,-0.001,0,0.0052696,0,0,-1
4.752,96.972987433865,496.554794269139,-0.001,0,0.005248,0,0,-1
4.7736,96.9621972640213,488.922627915229,-0.001,0,0.0052264,0,0,-1
4.7952,96.9515368966775,481.118922213054,-0.001,0,0.0052048,0,0,-1
4.8168,96.9410063318338,473.144569340129,-0.001,0,0.0051832,0,0,-1
4.8384,96.93060556949,465.000517190872,-0.001,0,0.0051616,0,0,-1
4.86,96.9203346096463,456.687769376605,-0.001,0,0.00514,0,0,-1
4.8816,96.9101934523025,448.207385225554,-0.001,0,0.0051184,0,0,-1
4.9032,96.9001820974588,439.560479782849,-0.001,0,0.0050968,0,0,-1
4.9248,96.890300545115,430.748223810526,-0.001,0,0.0050752,0,0,-1
4.9464,96.8805487952713,421.771843787522,-0.001,0,0.0050536,0,0,-1
4.968,96.8709268479275,412.632621909682,-0.001,0,0.005032,0,0,-1
4.9896,96.8614347030838,403.331896089752,-0.001,0,0.0050104,0,0,-1
5.0112,96.857216350586,398.439818877362,-0.0009888,0,0.005,-1,0,0
5.0328,96.8574749385376,397.469669317965,-0.000967199999999999,0,0.005,-1,0,0
5.0544,96.8572977460937,396.324196658452,-0.0009456,0,0.005,-1,0,0
5.076,96.8566847732544,395.233246870827,-0.000924,0,0.005,-1,0,0
5.0976,96.8556360200195,394.422214360037,-0.0009024,0,0.005,-1,0,0
5.1192,96.8541514863891,394.112041963954,-0.0008808,0,0.005,-1,0,0
5.1408,96.8522311723633,394.519220953391,-0.0008592,0,0.005,-1,0,0
5.1624,96.8498750779419,395.855791032089,-0.0008376,0,0.005,-1,0,0
5.184,96.847083203125,398.329340336729,-0.000816,0,0.005,-1,0,0
5.2056,96.8438555479126,402.143005436921,-0.0007944,0,0.005,-1,0,0
5.2272,96.8401921123047,407.49547133521,-0.0007728,0,0.005,-1,0,0
5.2488,96.8360928963013,414.580971467076,-0.0007512,0,0.005,-1,0,0
5.2704,96.8315578999024,423.589287700933,-0.0007296,0,0.005,-1,0,0
5.292,96.8265871231079,434.705750338127,-0.000708,0,0.005,-1,0,0
5.3136,96.821180565918,448.111238112942,-0.0006864,0,0.005,-1,0,0
5.3352,96.8153382283325,463.982178192589,-0.0006648,0,0.005,-1,0,0
5.3568,96.8090601103515,482.490546177219,-0.000643199999999999,0,0.005,-1,0,0
5.3784,96.8023462119751,503.803866099915,-0.0006216,0,0.005,-1,0,0
5.4,96.7951965332034,528.085210426697,-0.0006,0,0.005,-1,0,0
5.4216,96.7921952089844,608.9909122984,-0.000578399999999999,0,0.005,-1,0,0
5.4432,96.7852940195313,702.271942632338,-0.0005568,0,0.005,-1,0,0
5.4648,96.7744929648438,812.919397891588,-0.0005352,0,0.005,-1,0,0
5.4864,96.7597920449219,945.524659307722,-0.000513599999999999,0,0.005,-1,0,0
5.508,96.7411912597657,1104.27939288082,-0.000491999999999999,0,0.005,-1,0,0
5.5296,96.718690609375,1292.97554937947,-0.0004704,0,0.005,-1,0,0
5.5512,96.69229009375,1515.00536434079,-0.000448799999999999,0,0.005,-1,0,0
5.5728,96.6619897128907,1773.36135807037,-0.000427199999999999,0,0.005,-1,0,0
5.5944,96.6277894667969,2070.63633564232,-0.0004056,0,0.005,-1,0,0
5.616,96.5896893554688,2409.02338689929,-0.000384,0,0.005,-1,0,0
5.6376,96.5476893789062,2790.31588645239,-0.000362399999999999,0,0.005,-1,0,0
5.6592,96.5017895371093,3215.90749368124,-0.0003408,0,0.005,-1,0,0
5.6808,96.4519898300781,3686.79215273403,-0.0003192,0,0.005,-1,0,0
5.7024,96.3982902578125,4203.56409252739,-0.000297599999999999,0,0.005,-1,0,0
5.724,96.3406908203125,4766.41782674649,-0.000275999999999999,0,0.005,-1,0,0
5.7456,96.2791915175781,5375.14815384496,-0.0002544,0,0.005,-1,0,0
5.7672,96.2137923496094,6029.15015704504,-0.000232799999999999,0,0.005,-1,0,0
5.7888,96.1444933164063,6727.41920433739,-0.000211199999999999,0,0.005,-1,0,0
5.8104,95.9872816510972,12259.4198323104,-0.0002,0,0.0049896,0,0,-1
5.832,95.7468265355439,11684.3687412707,-0.0002,0,0.004968,0,0,-1
5.8536,95.5174993529832,11150.0774331954,-0.0002,0,0.0049464,0,0,-1
5.8752,95.299300103415,10654.4650008902,-0.0002,0,0.0049248,0,0,-1
5.8968,95.0922287868395,10196.9887259647,-0.0002,0,0.0049032,0,0,-1
5.9184,94.8962854032564,9778.64407883308,-0.0002,0,0.0048816,0,0,-1
5.94,94.7114699526659,9401.96471871364,-0.0002,0,0.00486,0,0,-1
5.9616,94.5285709882093,9238.57434942074,-0.0002,0,0.0048384,0,0,-1
5.9832,94.3409127530523,9207.73253132777,-0.0002,0,0.0048168,0,0,-1
6.0048,94.1529034527757,9173.89292421941,-0.0002,0,0.0047952,0,0,-1
6.0264,93.9645430873793,9137.30767669139,-0.0002,0,0.0047736,0,0,-1
6.048,93.7758316568632,9098.35073058708,-0.0002,0,0.004752,0,0,-1
6.0696,93.5867691612275,9057.51782099749,-0.0002,0,0.0047304,0,0,-1
6.0912,93.397355600472,9015.42647626123,-0.0002,0,0.0047088,0,0,-1
6.1128,93.2073580376895,9004.17026660358,-0.0002,0,0.0046872,0,0,-1
6.1344,93.0169397606778,9008.62845778899,-0.0002,0,0.0046656,0,0,-1
6.156,92.8262277077749,9013.03339433081,-0.0002,0,0.004644,0,0,-1
6.1776,92.6352218789808,9017.39898153681,-0.0002,0,0.0046224,0,0,-1
6.1992,92.4439222742955,9021.74029295433,-0.0002,0,0.0046008,0,0,-1
6.2208,92.252328893719,9026.07357037014,-0.0002,0,0.0045792,0,0,-1
6.2424,92.0604417372512,9030.41622381055,-0.0002,0,0.0045576,0,0,-1
6.264,91.8682608048923,9034.78683154132,-0.0002,0,0.004536,0,0,-1
6.2856,91.6757860966421,9039.20514006773,-0.0002,0,0.0045144,0,0,-1
6.3072,91.4830176125007,9043.69206413456,-0.0002,0,0.0044928,0,0,-1
6.3288,91.2899553524681,9048.26968672609,-0.0002,0,0.0044712,0,0,-1
6.3504,91.0965993165443,9052.96125906605,-0.0002,0,0.0044496,0,0,-1
6.372,90.9029495047293,9057.79120061773,-0.0002,0,0.004428,0,0,-1
6.3936,90.7090059170231,9062.78509908385,-0.0002,0,0.0044064,0,0,-1
6.4152,90.5147685534256,9067.96971040667,-0.0002,0,0.0043848,0,0,-1
6.4368,90.320237413937,9073.37295876791,-0.0002,0,0.0043632,0,0,-1
6.4584,90.125412498557,9079.02393658884,-0.0002,0,0.0043416,0,0,-1
6.48,89.9302938072859,9084.95290453014,-0.0002,0,0.00432,0,0,-1
6.5016,89.7349639595798,9089.37603097718,-0.0002,0,0.0042984,0,0,-1
6.5232,89.5395381210949,9092.39866618494,-0.0002,0,0.0042768,0,0,-1
6.5448,89.3439812209031,9095.58891729054,-0.0002,0,0.0042552,0,0,-1
6.5664,89.1482932590046,9098.93788706612,-0.0002,0,0.0042336,0,0,-1
6.588,88.9524742353993,9102.43696018654,-0.0002,0,0.004212,0,0,-1
6.6096,88.7565241500871,9106.07780322946,-0.0002,0,0.0041904,0,0,-1
6.6312,88.5604430030681,9109.85236467536,-0.0002,0,0.0041688,0,0,-1
6.6528,88.3642307943423,9113.75287490734,-0.0002,0,0.0041472,0,0,-1
6.6744,88.1678875239097,9117.77184621143,-0.0002,0,0.0041256,0,0,-1
6.696,87.9714131917702,9121.9020727763,-0.0002,0,0.004104,0,0,-1
6.7176,87.7748077979239,9126.13663069338,-0.0002,0,0.0040824,0,0,-1
6.7392,87.5780713423708,9130.468877957,-0.0002,0,0.0040608,0,0,-1
6.7608,87.3812038251109,9134.89245446409,-0.0002,0,0.0040392,0,0,-1
6.7824,87.1842052461441,9139.40128201441,-0.0002,0,0.0040176,0,0,-1
6.804,86.9870756054706,9143.98956431054,-0.0002,0,0.003996,0,0,-1
6.8256,86.7898149030903,9148.65178695772,-0.0002,0,0.0039744,0,0,-1
6.8472,86.592423139003,9153.38271746401,-0.0002,0,0.0039528,0,0,-1
6.8688,86.394900313209,9158.17740524023,-0.0002,0,0.0039312,0,0,-1
6.8904,86.1972464257082,9163.03118159996,-0.0002,0,0.0039096,0,0,-1
6.912,85.9994614765005,9167.93965975952,-0.0002,0,0.003888,0,0,-1
6.9336,85.8015566438981,9172.05194715651,-0.0002,0,0.0038664,0,0,-1
6.9552,85.6035905310203,9174.37406182127,-0.0002,0,0.0038448,0,0,-1
6.9768,85.4055624825077,9176.75292046975,-0.0002,0,0.0038232,0,0,-1
6.9984,85.2074724983604,9179.18883180425,-0.0002,0,0.0038016,0,0,-1
7.02,85.0093205785785,9181.68210627335,-0.0002,0,0.00378,0,0,-1
7.0416,84.8111067231618,9184.23305607188,-0.0002,0,0.0037584,0,0,-1
7.0632,84.6128309321105,9186.84199514096,-0.0002,0,0.0037368,0,0,-1
7.0848,84.4144932054244,9189.509239168,-0.0002,0,0.0037152,0,0,-1
7.1064,84.2160935431035,9192.23510558669,-0.0002,0,0.0036936,0,0,-1
7.128,84.0176319451481,9195.01991357703,-0.0002,0,0.003672,0,0,-1
7.1496,83.8191084115578,9197.86398406525,-0.0002,0,0.0036504,0,0,-1
7.1712,83.6205229423329,9200.76763972389,-0.0002,0,0.0036288,0,0,-1
7.1928,83.4218755374732,9203.73120497177,-0.0002,0,0.0036072,0,0,-1
7.2144,83.2231661969789,9206.75500597402,-0.0002,0,0.0035856,0,0,-1
7.236,83.0243949208498,9209.83937064199,-0.0002,0,0.003564,0,0,-1
7.2576,82.8255617090861,9212.98462863338,-0.0002,0,0.0035424,0,0,-1
7.2792,82.6266665616876,9216.19111135212,-0.0002,0,0.0035208,0,0,-1
7.3008,82.4277094786544,9219.45915194847,-0.0002,0,0.0034992,0,0,-1
7.3224,82.2286904599865,9222.78908531891,-0.0002,0,0.0034776,0,0,-1
7.344,82.0296095056838,9226.18124810626,-0.0002,0,0.003456,0,0,-1
7.3656,81.8304666157466,9229.63597869963,-0.0002,0,0.0034344,0,0,-1
7.3872,81.6312617901745,9233.15361723432,-0.0002,0,0.0034128,0,0,-1
