Raw Signal,Light-Off Signal,Difference,Voltage
306,36,270,1.318359375
300,36,264,1.2890625
295,37,258,1.259765625
286,39,247,1.206054688
281,37,244,1.19140625
276,37,239,1.166992188
269,37,232,1.1328125
264,36,228,1.11328125
259,35,224,1.09375
253,37,216,1.0546875
251,38,213,1.040039063
247,37,210,1.025390625
224,37,187,0.913085938
213,37,176,0.859375
202,37,165,0.805664063
193,37,156,0.76171875
185,39,146,0.712890625
179,37,142,0.693359375
176,37,139,0.678710938
167,40,127,0.620117188
164,38,126,0.615234375
158,38,120,0.5859375
157,38,119,0.581054688
154,37,117,0.571289063
148,38,110,0.537109375
124,37,87,0.424804688
114,38,76,0.37109375
111,39,72,0.3515625
108,40,68,0.33203125
108,37,71,0.346679688
107,36,71,0.346679688
106,38,68,0.33203125
105,40,65,0.317382813
106,40,66,0.322265625
122,68,54,0.263671875
140,80,60,0.29296875
147,87,60,0.29296875
151,88,63,0.307617188
155,92,63,0.307617188
153,89,64,0.3125
154,90,64,0.3125
154,97,57,0.278320313
156,95,61,0.297851563
158,99,59,0.288085938
162,98,64,0.3125
160,98,62,0.302734375
157,96,61,0.297851563
159,98,61,0.297851563
156,98,58,0.283203125
158,97,61,0.297851563
158,98,60,0.29296875
158,102,56,0.2734375
158,103,55,0.268554688
157,105,52,0.25390625
158,104,54,0.263671875
156,104,52,0.25390625
158,102,56,0.2734375
158,104,54,0.263671875
159,105,54,0.263671875
162,105,57,0.278320313
166,106,60,0.29296875
172,111,61,0.297851563
181,115,66,0.322265625
188,119,69,0.336914063
190,117,73,0.356445313
194,115,79,0.385742188
188,108,80,0.390625
180,95,85,0.415039063
169,87,82,0.400390625
170,87,83,0.405273438
172,87,85,0.415039063
176,88,88,0.4296875
185,88,97,0.473632813
196,84,112,0.546875
207,85,122,0.595703125
224,83,141,0.688476563
239,82,157,0.766601563
250,81,169,0.825195313
262,86,176,0.859375
274,98,176,0.859375
297,112,185,0.903320313
312,117,195,0.952148438
320,123,197,0.961914063
328,123,205,1.000976563
333,124,209,1.020507813
345,123,222,1.083984375
352,124,228,1.11328125
357,124,233,1.137695313
366,123,243,1.186523438
377,127,250,1.220703125
383,125,258,1.259765625
389,124,265,1.293945313
399,124,275,1.342773438
401,122,279,1.362304688
402,119,283,1.381835938
405,114,291,1.420898438
406,111,295,1.440429688
413,111,302,1.474609375
418,111,307,1.499023438
426,108,318,1.552734375
433,108,325,1.586914063
435,103,332,1.62109375
438,103,335,1.635742188
442,103,339,1.655273438
442,105,337,1.645507813
448,110,338,1.650390625
451,113,338,1.650390625
458,121,337,1.645507813
466,122,344,1.6796875
468,125,343,1.674804688
469,125,344,1.6796875
470,126,344,1.6796875
472,126,346,1.689453125
470,127,343,1.674804688
468,125,343,1.674804688
467,125,342,1.669921875
471,125,346,1.689453125
466,128,338,1.650390625
467,124,343,1.674804688
468,124,344,1.6796875
468,126,342,1.669921875
