"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
4.5114003296,-0.001,0,0.0054885996704,0,0,-1,3.95835740490253,0.981877987766179
4.5333003312,-0.001,0,0.0054666996688,0,0,-1,3.95327557956233,0.981791355378669
4.5552003328,-0.001,0,0.0054447996672,0,0,-1,3.94819375422213,0.981704834283143
4.5771003344,-0.001,0,0.0054228996656,0,0,-1,3.94311192888193,0.9816184244796
4.599000336,-0.001,0,0.005400999664,0,0,-1,3.93803010354173,0.98153212596804
4.6209003376,-0.001,0,0.0053790996624,0,0,-1,3.93294827820154,0.981445938748464
4.6428003392,-0.001,0,0.0053571996608,0,0,-1,3.92786645286134,0.98135986282087
4.6647003408,-0.001,0,0.0053352996592,0,0,-1,3.92278462752114,0.981273898185259
4.6866003424,-0.001,0,0.0053133996576,0,0,-1,3.91770280218094,0.981188044841631
4.708500344,-0.001,0,0.005291499656,0,0,-1,3.91262097684074,0.981102302789987
4.7304003456,-0.001,0,0.0052695996544,0,0,-1,3.90753915150054,0.981016672030326
4.7523003472,-0.001,0,0.0052476996528,0,0,-1,3.90245732616035,0.980931152562647
4.7742003488,-0.001,0,0.0052257996512,0,0,-1,3.89737550082015,0.980845744386952
4.7961003504,-0.001,0,0.0052038996496,0,0,-1,3.88020481750895,0.980760549765295
4.818000352,-0.001,0,0.005181999648,0,0,-1,3.87247591276186,0.980675657905097
4.8399003536,-0.001,0,0.0051600996464,0,0,-1,3.86474700801476,0.980590935307925
4.8618003552,-0.001,0,0.0051381996448,0,0,-1,3.85701810326766,0.980506381973779
4.8837003568,-0.001,0,0.0051162996432,0,0,-1,3.84928919852056,0.980421997902659
4.9056003584,-0.001,0,0.0050943996416,0,0,-1,3.84156029377347,0.980337783094566
4.92750036,-0.001,0,0.00507249964,0,0,-1,3.83383138902637,0.980253737549499
4.9494003616,-0.001,0,0.0050505996384,0,0,-1,3.82610248427927,0.980169861267458
4.9713003632,-0.001,0,0.0050286996368,0,0,-1,3.81837357953217,0.980086154248444
4.9932003648,-0.001,0,0.0050067996352,0,0,-1,3.81064467478508,0.980002616492456
5.0151003664,-0.0009848996336,0,0.005,1,0,0,0.00503367615941089,0.979976691386554
5.037000368,-0.000962999632,0,0.005,1,0,0,0.0153563694652888,0.979976468115537
5.0589003696,-0.0009410996304,0,0.005,1,0,0,0.0256790627711667,0.979976018777522
5.0808003712,-0.000919199628799999,0,0.005,1,0,0,0.0360017560770451,0.979975343372506
5.1027003728,-0.0008972996272,0,0.005,1,0,0,0.046324449382923,0.97997444190049
5.1246003744,-0.0008753996256,0,0.005,1,0,0,0.0566471426888009,0.979973314361475
5.146500376,-0.000853499624,0,0.005,1,0,0,0.0669698359946788,0.979971960755459
5.1684003776,-0.000831599622400001,0,0.005,1,0,0,0.0772925293005567,0.979970381082444
5.1903003792,-0.0008096996208,0,0.005,1,0,0,0.0876152226064351,0.979968575342429
5.2122003808,-0.0007877996192,0,0.005,1,0,0,0.097937915912313,0.979966543535413
5.2341003824,-0.000765899617600001,0,0.005,1,0,0,0.108260609218191,0.979964285661398
5.256000384,-0.000743999616,0,0.005,1,0,0,0.118583302524069,0.979961801720383
5.2779003856,-0.0007220996144,0,0.005,1,0,0,0.12446047816372,0.979959310398242
5.2998003872,-0.000700199612800001,0,0.005,1,0,0,0.148100233826035,0.979956325858228
5.3217003888,-0.0006782996112,0,0.005,1,0,0,0.171739989488352,0.979952823607527
5.3436003904,-0.0006563996096,0,0.005,1,0,0,0.195379745150668,0.979948803646139
5.365500392,-0.000634499608,0,0.005,1,0,0,0.219019500812984,0.979944265974064
5.3874003936,-0.0006125996064,0,0.005,1,0,0,0.242659256475301,0.979939210591303
5.4093003952,-0.0005906996048,0,0.005,1,0,0,0.266299012137617,0.979933637497854
5.4312003968,-0.0005687996032,0,0.005,1,0,0,0.289938767799933,0.979927546693719
5.4531003984,-0.0005468996016,0,0.005,1,0,0,0.313578523462249,0.979920938178897
5.4750004,-0.0005249996,0,0.005,1,0,0,0.337218279124565,0.979913811953388
5.4969004016,-0.0005030995984,0,0.005,1,0,0,0.360858034786881,0.979906168017192
5.5188004032,-0.0004811995968,0,0.005,1,0,0,0.377883188865805,0.979898051682177
5.5407004048,-0.0004592995952,0,0.005,1,0,0,0.45431226679331,0.979888939141271
5.5626004064,-0.0004373995936,0,0.005,1,0,0,0.530741344720814,0.979878152803437
5.584500408,-0.000415499592,0,0.005,1,0,0,0.607170422648322,0.979865692668674
5.6064004096,-0.0003935995904,0,0.005,1,0,0,0.683599500575827,0.979851558736982
5.6283004112,-0.0003716995888,0,0.005,1,0,0,0.760028578503331,0.979835751008362
5.6502004128,-0.0003497995872,0,0.005,1,0,0,0.836457656430839,0.979818269482812
5.6721004144,-0.0003278995856,0,0.005,1,0,0,0.912886734358344,0.979799114160333
5.694000416,-0.000305999584,0,0.005,1,0,0,1.11829954704682,0.979777034048111
5.7159004176,-0.0002840995824,0,0.005,1,0,0,1.33954161473171,0.979750120685423
5.7378004192,-0.0002621995808,0,0.005,1,0,0,1.56078368241659,0.979718362121099
5.7597004208,-0.0002402995792,0,0.005,1,0,0,1.6695890475987,0.979682203299899
