"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
2.6937001968,-0.001,0,0.0073062998032,0,0,-1,4.02089087706297
2.7156001984,-0.001,0,0.0072843998016,0,0,-1,4.02092274301035
2.7375002,-0.001,0,0.0072624998,0,0,-1,4.02089695848065
2.7594002016,-0.001,0,0.0072405997984,0,0,-1,4.02087117395095
2.7813002032,-0.001,0,0.0072186997968,0,0,-1,4.02084538942125
2.8032002048,-0.001,0,0.0071967997952,0,0,-1,4.02081960489155
2.8251002064,-0.001,0,0.0071748997936,0,0,-1,4.02079382036186
2.847000208,-0.001,0,0.007152999792,0,0,-1,4.02076803583216
2.8689002096,-0.001,0,0.0071310997904,0,0,-1,4.02074225130246
2.8908002112,-0.001,0,0.0071091997888,0,0,-1,4.02071646677276
2.9127002128,-0.001,0,0.0070872997872,0,0,-1,4.02069068224307
2.9346002144,-0.001,0,0.0070653997856,0,0,-1,4.02066489771337
2.956500216,-0.001,0,0.007043499784,0,0,-1,4.02063911318367
2.9784002176,-0.001,0,0.0070215997824,0,0,-1,4.02061332865397
3.0003002192,-0.001,0,0.0069996997808,0,0,-1,4.02058754412427
3.0222002208,-0.001,0,0.0069777997792,0,0,-1,4.02056175959458
3.0441002224,-0.001,0,0.0069558997776,0,0,-1,4.02053597506488
3.066000224,-0.001,0,0.006933999776,0,0,-1,4.02051019053518
3.0879002256,-0.001,0,0.0069120997744,0,0,-1,4.02048440600548
3.1098002272,-0.001,0,0.0068901997728,0,0,-1,4.02045862147579
3.1317002288,-0.001,0,0.0068682997712,0,0,-1,4.02043283694609
3.1536002304,-0.001,0,0.0068463997696,0,0,-1,4.02040705241639
3.175500232,-0.001,0,0.006824499768,0,0,-1,4.02002656877314
3.1974002336,-0.001,0,0.0068025997664,0,0,-1,4.01994549540489
3.2193002352,-0.001,0,0.0067806997648,0,0,-1,4.01986442203664
3.2412002368,-0.001,0,0.0067587997632,0,0,-1,4.01978334866839
3.2631002384,-0.001,0,0.0067368997616,0,0,-1,4.01970227530014
3.28500024,-0.001,0,0.00671499976,0,0,-1,4.01962120193189
3.3069002416,-0.001,0,0.0066930997584,0,0,-1,4.01954012856364
3.3288002432,-0.001,0,0.0066711997568,0,0,-1,4.01945905519539
3.3507002448,-0.001,0,0.0066492997552,0,0,-1,4.01937798182714
3.3726002464,-0.001,0,0.0066273997536,0,0,-1,4.0192969084589
3.394500248,-0.001,0,0.006605499752,0,0,-1,4.01921583509065
3.4164002496,-0.001,0,0.0065835997504,0,0,-1,4.0191347617224
3.4383002512,-0.001,0,0.0065616997488,0,0,-1,4.01905368835415
3.4602002528,-0.001,0,0.0065397997472,0,0,-1,4.0189726149859
3.4821002544,-0.001,0,0.0065178997456,0,0,-1,4.01889154161765
3.504000256,-0.001,0,0.006495999744,0,0,-1,4.0188104682494
3.5259002576,-0.001,0,0.0064740997424,0,0,-1,4.01966430015602
3.5478002592,-0.001,0,0.0064521997408,0,0,-1,4.01937957908156
3.5697002608,-0.001,0,0.0064302997392,0,0,-1,4.01909485800711
3.5916002624,-0.001,0,0.0064083997376,0,0,-1,4.01881013693265
3.613500264,-0.001,0,0.006386499736,0,0,-1,4.01852541585819
3.6354002656,-0.001,0,0.0063645997344,0,0,-1,4.01824069478374
3.6573002672,-0.001,0,0.0063426997328,0,0,-1,4.01795597370928
3.6792002688,-0.001,0,0.0063207997312,0,0,-1,4.01767125263483
3.7011002704,-0.001,0,0.0062988997296,0,0,-1,4.01738653156037
3.723000272,-0.001,0,0.006276999728,0,0,-1,4.01710181048592
3.7449002736,-0.001,0,0.0062550997264,0,0,-1,4.01681708941146
3.7668002752,-0.001,0,0.0062331997248,0,0,-1,4.01653236833701
3.7887002768,-0.001,0,0.0062112997232,0,0,-1,4.01624764726255
3.8106002784,-0.001,0,0.0061893997216,0,0,-1,4.0159629261881
